Tool	Platform	Code	Description	License	Added	Updated
JSNMF_py	Python	https://github.com/cuhklinlab/JSNMF_py	Joint analysis of scRNA-seq and epigenomic-seq data via semi-orthogonal nonnegative matrix factorization	MIT	2022-04-08	2022-04-08
JSOM	Python	https://github.com/hlim95/JSOM	Jointly Evolving Self-organzing Maps	NA	2021-03-26	2021-03-26
jSRC	MATLAB	https://github.com/xkmaxidian/jSRC	Clustering scRNA-seq by joint sparse representation clustering (jSRC)	NA	2021-02-12	2021-02-12
Jvis	Python	https://github.com/canzarlab/JVis-learn	A generalization of t-SNE and UMAP to single-cell multimodal omics	BSD-3-Clause	2021-01-15	2021-05-14
k-branches	R	https://github.com/theislab/kbranches	The main idea behind the K-Branches method is to identify regions of interest (branching regions and tips) in differentiation trajectories of single cells.	GPL-3.0	2016-12-22	2016-12-22
K2Taxonomer	R	https://github.com/montilab/K2Taxonomer	"K2Taxonomer is an R package built around a ""top-down"" recursive partitioning framework to perform unsupervised learning of nested “taxonomy-like” subgroups from high-throughput -omics data"	GPL-3.0	2020-11-08	2021-07-27
kallisto	C/C++	https://github.com/pachterlab/kallisto	kallisto produces transcript-level quantification estimates for RNA-seq data. It can produce transript compatibility count estimates for scRNA-seq data.	BSD-2-Clause	2018-06-08	2021-04-12
kana	JavaScript	https://github.com/jkanche/kana	kana is a web application for single-cell RNA-seq data analysis that works directly in the browser	MIT	2022-03-11	2022-03-11
kBET	R	https://github.com/theislab/kBET	An R package to provide a test for batch effects in high-dimensional single-cell RNA sequencing data.	GPL-3.0	2017-10-10	2019-01-06
KMD	Python	https://github.com/KaplanLab/KMDHierarchicalClustering	A clustering method based on hierarchical clustering using KMD linkage, KMD silhouette and outlier-aware partitioning	MIT	2020-10-15	2020-10-15
kmermaid	Nextflow/Python	https://github.com/nf-core/kmermaid	Compare DNA/RNA/protein sequences on k-mer content	MIT	2021-07-16	2021-07-16
knn_smooth	Python/R/MATLAB	https://github.com/yanailab/knn-smoothing	Smoothing is performed by first identifying the nearest neighbors of each cell in a step-wise fashion, based on variance-stabilized and partially smoothed expression profiles, and then aggregating their transcript counts.	NA	2018-02-02	2018-02-02
KPNN	Python/R/Shell	https://github.com/epigen/KPNN	Knowledge-primed neural networks enable biologically interpretable deep learning on single-cell sequencing data	GPL-3.0	2019-10-09	2019-10-09
LAK	R	https://github.com/HIT-biostatistical/LAK	A computational pipeline for single-cell RNA-seq data clustering analysis using Lasso And K-means based feature selection method	NA	2020-07-31	2020-07-31
LAmbDA	Python	https://github.com/tsteelejohnson91/LAmbDA	LAmbDA is an algorithm that assigns unknown labels to datasets and trains on those labels across multiple datasets.	NA	2019-02-01	2019-02-01
Lamian	R	https://github.com/Winnie09/Lamian	Lamian: a statistical framework for differential pseudotime analysis in multiple single-cell RNA-seq	GPL-2.0	2021-07-16	2021-07-16
LandSCENT	R	https://github.com/ChenWeiyan/LandSCENT	LandSCENT (Landscape Single Cell Entropy) is a R-package for the analysis of single-cell RNA-Seq data	GPL-3.0	2019-05-31	2019-05-31
LANTSA	Python	https://github.com/zccqq/LANTSA	LANTSA is a landmark-based transferable subspace analysis tool for single-cell and spatial transcriptomics	BSD-3-Clause	2022-03-18	2022-03-18
LATE	Python	https://github.com/audreyqyfu/LATE	LATE leverages information of dependence between genes/cells, and recovers the missing values (zeros)	GPL-3.0	2020-01-02	2020-01-02
LEAP	R	https://cran.r-project.org/web/packages/LEAP/index.html	Constructing Gene Co-Expression Networks for Single-Cell RNA-Sequencing Data Using Pseudotime Ordering.	GPL-2.0	2016-09-12	2017-04-18
learn2count	R	https://github.com/drisso/learn2count	Structure learning of graphical models for count data	Artistic-2.0	2020-11-29	2020-11-29
LIANA	R/Python	https://github.com/saezlab/liana	LIANA: a LIgand-receptor ANalysis frAmework	GPL-3.0	2021-07-09	2022-01-14
Libra	R	https://github.com/neurorestore/Libra	Libra is an R package to perform differential expression on single-cell data. Libra implements a total of 22 unique differential expression methods that can all be accessed from one function.	MIT	2021-10-08	2021-10-08
LIGER	R/C++	https://github.com/welch-lab/liger	LIGER (Linked Inference of Genomic Experimental Relationships)	GPL-3.0	2018-11-09	2022-02-18
LINEAGE	R	https://github.com/songjiajia2018/LINEAGE	Label-free IdeNtification of Endogenous informAtive sinGle cell mitochondrial RNA mutation for lineage analysis and clonal Evolution (LINEAGE)	GPL-3.0	2022-02-04	2022-02-04
LineagePulse	R	https://github.com/YosefLab/LineagePulse	Differential expression analysis and model fitting for single-cell RNA-seq data in pseudotime	Artistic-2.0	2018-05-13	2018-05-13
Linnorm	R	https://github.com/kenshunyip/Linnorm	Linnorm is an R package for the analysis of RNA-seq, scRNA-seq, ChIP-seq count data or any large scale count data.	MIT	2017-02-01	2018-03-14
LinQView	R/C++	https://github.com/WilsonImmunologyLab/LinQView	Integrate multiple modalities of CITE-seq data for single cell populations identification	GPL-3.0	2021-08-01	2021-08-01
locCSN	Python/R	https://github.com/xuranw/locCSN	locCSN is a refined approach for generating co-expression networks at the level of the individual cell by sharing strength at the level of the gene pair	MIT	2021-06-25	2021-12-17
LRLoop	R	https://github.com/Pinlyu3/LRLoop	LRLoop is a full-featured R package for analyzing LR-Loops from bulk & single-cell RNA-seq data.	MIT	2022-02-18	2022-02-18
LTMGSCA	R	https://github.com/clwan/LTMGSCA	LTMGSCA is a left truncated mixture Gaussian (LTMG) model-based single cell RNA-seq analysis pipeline that can accurately infer the modality and distribution of individual gene’s expression profile in scRNA-seq data, while decrease the impact from dropout and low expression value.	MIT	2019-08-12	2020-04-29
M3Drop	R	https://github.com/tallulandrews/M3Drop	R package providing functions for fitting a modified Michaelis-Menten (MM) equation to the pattern of dropouts observed in a single-cell sequencing experiment.	GPL-2.0-or-later	2016-10-10	2019-01-06
M3S	R	https://github.com/zy26/M3S	M3S: a comprehensive model selection for multi-modal single-cell RNA sequencing data	CC-BY-NC-ND-4.0	2020-01-02	2020-01-02
MAAPER	R	https://github.com/Vivianstats/MAAPER	MAAPER is a computational method developed for model-based analysis of alternative polyadenylation using 3’ end-linked reads	GPL-3.0	2021-03-26	2021-08-11
MACA	Python	https://github.com/ImXman/MACA	MACA: Marker-based automatic cell-type annotation for single cell expression data	GPL-3.0	2021-10-29	2022-01-06
MacroPolo	Python	https://github.com/chanwkimlab/MarcoPolo	MarcoPolo is a clustering-free approach to the exploration of differentially expressed genes along with group information in single-cell RNA-seq data	GPL-2.0	2020-11-29	2022-03-18
MAESTRO	Python/R/C++	https://github.com/liulab-dfci/MAESTRO	MAESTRO (Model-based AnalysEs of Single-cell Transcriptome and RegulOme) is a comprehensive single-cell RNA-seq and ATAC-seq analysis suit built using snakemake	GPL-3.0	2020-08-14	2020-08-14
MAGAN	Python	https://github.com/KrishnaswamyLab/MAGAN	MAGAN: Manifold Aligning Generative Adversarial Network	NA	2020-09-10	2020-09-10
MAGIC	Python/R/MATLAB	https://github.com/KrishnaswamyLab/MAGIC	Markov Affinity-based Graph Imputation of Cells (MAGIC)	GPL-2.0	2017-02-27	2019-10-02
MAPiT	MATLAB	https://github.com/karstenkuritz/MAPiT	MAPiT: measure-preserving MAP of pseudotime into true Time	BSD-3-Clause	2020-03-12	2020-03-12
MARGARET	Python	https://github.com/Zafar-Lab/Margaret	MARGARET is a Metric learning-based graph-partitioned trajectory inference method for single-cell sequencing data.	MIT	2021-10-29	2021-10-29
MarkerCount	Python	https://github.com/combio-dku/MarkerCount	MarkerCount: A stable, count-based cell type identifier for single cell RNA-Seq experiments	GPL-3.0	2021-04-30	2021-06-25
MarkovHC	R	https://github.com/ZhenyiWangTHU/MarkovHC	MarkovHC as a novel single-cell omics data analysis tool, can facilitate the stratification of cells, identification of cell population hierarchical structures, and characterization of cellular trajectories and critical points	GPL-3.0	2021-12-10	2021-12-10
MARS	Python	https://github.com/snap-stanford/mars	A meta-learning approach for cell type discovery in heterogenous single-cell data	MIT	2020-03-12	2021-06-28
MAST	R	https://github.com/RGLab/MAST	Model-based Analysis of Single-cell Transcriptomics (MAST) fits a two-part, generalized linear models that are specially adapted for bimodal and/or zero-inflated single cell gene expression data.	GPL-2.0-or-later	2016-09-08	2016-09-08
MAT2	Python	https://github.com/Zhang-Jinglong/MAT2	Manifold Alignment of Single-Cell Transcriptomes with Cell Triplets	MIT	2021-05-21	2021-05-21
MATCHER	Python	https://github.com/jw156605/MATCHER	Manifold Alignment to Characterize Experimental Relationships (MATCHER)	MIT	2017-08-25	2019-10-02
matchSCore	R	NA	matchSCore is a easy-to-use R package for the comparison of single cell RNA-seq data across tools and experiments	NA	2018-05-11	2021-06-28
matchSCore2	R	https://github.com/elimereu/matchSCore2	MatchSCore2 is a R package for the comparison of single cell RNA-seq data across tools and experiments.	NA	2019-05-17	2019-05-17
mbkmeans	R/C++	https://github.com/drisso/mbkmeans	Implements the mini-batch k-means algorithm for large datasets, including support for on-disk data representation.	MIT	2019-06-28	2020-05-29
mcap	R	https://github.com/btaschler/mcap	mcap provides a model-based clustering approach in very high dimensions (especially when p is much larger than n) via adaptive projections.	GPL-3.0	2019-03-01	2019-03-01
McImpute	MATLAB	https://github.com/aanchalMongia/McImpute_scRNAseq	A matlab tool for imputation of scRNA-seq data	NA	2018-11-16	2018-11-16
MCXpress	R	https://github.com/ARTbio/MCXpress	MCA is a dimensionality reduction technique that allows the representation of both individuals (cells) and the variables (genes) within the same Euclidean space, thus allowing the simultaneous identification of subpopulations of cells and their gene signatures.	MIT	2018-03-15	2021-06-28
MEDALT	Python/R	https://github.com/KChen-lab/MEDALT	This package performs lineage tracing using copy number profile from single cell sequencing technology	MIT	2020-04-14	2021-03-05
MELD	Python	https://github.com/KrishnaswamyLab/MELD	MELD (Manifold Enhancement of Latent Dimensions), Quantifying the effect of experimental perturbations in scRNA-seq data.	GPL-3.0	2019-02-01	2021-03-19
MERLoT	R/Python	https://github.com/soedinglab/merlot	MERLot is a tool that can reconstruct the lineage tree topology that explains the emergence of different cell types from a progenitor population.	GPL-3.0	2018-02-16	2018-02-16
MetaCell	R	https://github.com/tanaylab/metacell	The MetaCell R package facilitates analysis of single cell RNA-seq UMI matrices by computing partitions of a cell similarity graph into small (~20-200 typically) homogeneous groups of cells which are defined as metacells (MCs).	MIT	2018-11-13	2022-04-01
metacells	Python/C++	https://github.com/tanaylab/metacells	Improved Python implementation of the metacell algorithm	MIT	2020-12-13	2021-08-11
MetaNeighbor	R	https://github.com/gillislab/MetaNeighbor	MetaNeighbor: a method to rapidly assess cell type identity using both functional and random gene sets	MIT	2017-09-09	2021-07-16
MFA	R	https://github.com/kieranrcampbell/mfa	mfa is an R package implementing Gibbs sampling for a Bayesian hierarchichal mixture of factor analysers for inference of bifurcations in single-cell data.	GPL-2.0-or-later	2017-03-20	2017-03-20
MGFR	R	NA	A package for marker gene detection	GPL-3.0	2019-06-06	2019-06-06
MicroCellClust	Scala/R	https://github.com/agerniers/MicroCellClust	Designed to search for rare cell-clusters (typically less than 10% of the number of cells) that present a highly specific gene expression in scRNA-seq data	NA	2021-04-16	2021-04-16
MICTI	Python	https://github.com/insilicolife/micti	Marker gene Identification for Cell Type Identity	MIT	2019-07-04	2019-07-04
Millefy	R	https://github.com/yuifu/millefy	Millefy is a tool for visualizing read coverage of single-cell RNA sequensing (scRNA-seq) datasets in genomic contexts.	MIT	2019-02-12	2019-05-23
miloR	R	https://github.com/MarioniLab/miloR	Milo is a method for differential abundance analysis on KNN graph from single-cell datasets	GPL-3.0	2020-11-29	2021-10-08
MIMOSCA	Python	https://github.com/asncd/MIMOSCA	Multiple Input Multiple Output Single Cell Analysis	MIT	2018-11-15	2021-01-12
MIND	R	https://github.com/randel/MIND	Using Tissue Expression to Estimate Sample-/Subject- And Cell-Type-Specific Gene Expression via Deconvolution	GPL-1.0	2020-08-14	2020-08-14
minicore	C++/Python	https://github.com/dnbaker/minicore	Minicore is a fast, generic library for constructing and clustering coresets on graphs, in metric spaces and under non-metric dissimilarity measures	MIT	2021-04-12	2021-04-12
minnow	C++	https://github.com/COMBINE-lab/minnow	A comprehensive sequence-level droplet-based single-cell RNA-seq (dscRNA-seq) experiment simulation framework	NA	2019-07-15	2019-07-15
miQC	R	https://github.com/greenelab/miQC	miQC is data-driven QC metric that jointly models both the proportion of reads mapping to mtDNA and the number of detected genes with mixture models	BSD-3-Clause	2021-03-05	2021-08-27
MIRA	Python	https://github.com/cistrome/MIRA	MIRA (Probabilistic Multimodal Models for Integrated Regulatory Analysis) is a comprehensive methodology that systematically contrasts single cell transcription and accessibility to infer the regulatory circuitry driving cells along developmental trajectories	NA	2021-12-10	2021-12-10
